t	x
0,0005	2,573042378
0,001	0,599719037
0,0015	0,893129427
0,002	0,885228792
0,0025	-0,280176706
0,003	0,449592784
0,0035	-2,004782529
0,004	0,992348569
0,0045	2,930270453
0,005	0,530751877
0,0055	0,957869888
0,006	0,066856742
0,0065	-0,086704919
0,007	0,310303721
0,0075	-1,644426262
0,008	0,857759886
0,0085	2,7547831
0,009	0,467637573
0,0095	0,900404778
0,01	0,182433515
0,0105	-0,001754865
0,011	0,590127537
0,0115	-1,779959931
0,012	0,347992963
0,0125	2,948832963
0,013	0,47679798
0,0135	0,676450914
0,014	0,222674478
0,0145	0,448322538
0,015	0,264691925
0,0155	-1,509126135
0,016	0,225099012
0,0165	3,158856603
0,017	0,454278054
0,0175	1,37357185
0,018	0,706381557
0,0185	0,189303567
0,019	0,856892739
0,0195	-1,88437992
0,02	0,237525738
0,0205	3,251102979
0,021	0,468946519
0,0215	1,07095561
0,022	0,203801283
0,0225	0,510597311
0,023	0,033976221
0,0235	-2,210277739
0,024	0,767320207
0,0245	3,220439135
0,025	0,985945598
0,0255	0,473410488
0,026	0,645400933
0,0265	0,526546349
0,027	0,057585117
0,0275	-2,009640367
0,028	0,756174771
0,0285	2,491330654
0,029	0,217059343
0,0295	0,665329179
0,03	0,919529104
0,0305	-0,354199205
0,031	0,461697987
0,0315	-1,86349065
0,032	0,4452943
0,0325	2,582457077
0,033	0,070485248
0,0335	1,23339333
0,034	0,631017672
0,0345	-0,18651169
0,035	0,421289208
0,0355	-1,852222359
0,036	0,94554135
0,0365	2,491461398
0,037	0,805429777
0,0375	1,139216844
0,038	0,562141993
0,0385	0,466129986
0,039	0,364905573
0,0395	-2,267325222
0,04	0,367190491
0,0405	3,062936431
0,041	0,157342309
0,0415	1,195098126
0,042	0,776593819
0,0425	0,237375711
0,043	0,857213451
0,0435	-1,783479871
0,044	0,136788049
0,0445	2,797510445
0,045	0,182839076
0,0455	0,686637782
0,046	0,883864494
0,0465	0,018815522
0,047	0,959527223
0,0475	-1,546847258
0,048	0,722329815
0,0485	3,03918517
0,049	0,043197099
0,0495	0,98763497
0,05	0,644039598
0,0505	-0,007136498
0,051	0,999827248
0,0515	-2,379791729
0,052	0,222923953
0,0525	2,620131746
0,053	0,714579217
0,0535	0,754798222
0,054	0,743820761
0,0545	0,567540018
0,055	0,100141896
0,0555	-2,184890124
0,056	0,962516071
0,0565	2,477338096
0,057	0,07751284
0,0575	0,877569485
0,058	0,109443088
0,0585	-0,072047945
0,059	0,269779296
0,0595	-2,103825384
0,06	0,494921321
0,0605	2,76365191
0,061	0,146295193
0,0615	1,321363094
0,062	0,175135989
0,0625	0,419880341
0,063	0,559141715
0,0635	-2,36137523
0,064	0,637129356
0,0645	3,2126342
0,065	0,357349053
0,0655	0,826132824
0,066	0,128981371
0,0665	-0,254524673
0,067	0,887781083
0,0675	-1,635106586
0,068	0,935154145
0,0685	2,59877607
0,069	0,151859802
0,0695	1,266617431
0,07	0,660521771
0,0705	-0,11001334
0,071	0,945185271
0,0715	-1,599068846
0,072	0,462678636
0,0725	2,45496678
0,073	0,229239456
0,0735	1,065535676
0,074	0,895530922
0,0745	-0,008022095
0,075	0,99813625
0,0755	-1,937904708
0,076	0,867365691
0,0765	2,944674464
0,077	0,123224273
0,0775	1,337563949
0,078	0,192625444
0,0785	0,151422763
0,079	0,415569232
0,0795	-1,731125865
0,08	0,654563025
0,0805	2,805521877
0,081	0,087784595
0,0815	0,468711302
0,082	0,684775736
0,0825	0,321613849
0,083	0,814257442
0,0835	-1,7604891
0,084	0,643127805
0,0845	2,911257834
0,085	0,831464642
0,0855	1,288945126
0,086	0,228620344
0,0865	0,510219855
0,087	0,301743394
0,0875	-1,503855329
0,088	0,393009611
0,0885	2,984339626
0,089	0,067726987
0,0895	1,041961056
0,09	0,455755529
0,0905	0,043681437
0,091	0,188063716
0,0915	-2,046985948
0,092	0,762358093
0,0925	2,936888926
0,093	0,832354803
0,0935	0,492965563
0,094	0,465090815
0,0945	-0,050095689
0,095	0,350007883
0,0955	-2,152705133
0,096	0,650169115
0,0965	2,91177283
0,097	0,123407116
0,0975	0,91506121
0,098	0,479399576
0,0985	0,071167177
0,099	0,138318623
0,0995	-1,974843218
0,1	0,251596721
0,1005	3,183991792
0,101	0,5844578
0,1015	0,546404075
0,102	0,342840843
0,1025	0,296674223
0,103	0,05959472
0,1035	-2,004371144
0,104	0,466230742
0,1045	3,299428007
0,105	0,105490348
0,1055	0,903243397
0,106	0,12475256
0,1065	0,392748892
0,107	0,475556933
0,1075	-2,104088235
0,108	0,584870183
0,1085	2,91515584
0,109	0,265832486
0,1095	0,847847673
0,11	0,356149183
0,1105	0,403622752
0,111	0,059890094
0,1115	-2,410148054
0,112	0,51177263
0,1125	3,223654687
0,113	0,713109794
0,1135	0,636635475
0,114	0,209022588
0,1145	-0,107105005
0,115	0,397421031
0,1155	-1,797858056
0,116	0,905045021
0,1165	2,951958768
0,117	0,642901451
0,1175	0,971260896
0,118	0,706947425
0,1185	-0,077774072
0,119	0,813200009
0,1195	-1,972265782
0,12	0,101884246
0,1205	2,438291752
0,121	0,337995663
0,1215	1,15996496
0,122	0,682960746
0,1225	-0,076904357
0,123	0,186020856
0,1235	-2,043357244
0,124	0,471142036
0,1245	3,390656282
0,125	0,26135652
0,1255	0,903651459
0,126	0,743582431
0,1265	0,411467393
0,127	0,353945735
0,1275	-2,257574763
0,128	0,558983243
0,1285	3,090114374
0,129	0,748962781
0,1295	1,40618226
0,13	0,186243192
