t;x
0,0005;2,228937249
0,001;0,905791937
0,0015;-1,287226746
0,002;-1,086624144
0,0025;-0,781854316
0,003;0,097540405
0,0035;1,692711781
0,004;2,546881519
0,0045;2,371720398
0,005;0,964888535
0,0055;-1,256600481
0,006;-1,029407218
0,0065;-0,457046614
0,007;0,485375649
0,0075;2,214494031
0,008;2,141886339
0,0085;1,835974845
0,009;0,915735525
0,0095;-0,622006233
0,01;-1,040507574
0,0105;-0,758472863
0,011;0,035711679
0,0115;2,263342868
0,012;2,933993248
0,0125;2,092948717
0,013;0,757740131
0,0135;-0,671081094
0,014;-1,60777298
0,0145;-0,758735672
0,015;0,171186688
0,0155;2,12025965
0,016;2,031832846
0,0165;1,691136547
0,017;0,046171391
0,0175;-1,317081781
0,018;-1,176542172
0,0185;-0,719384939
0,019;0,31709948
0,0195;2,364435611
0,02;2,034446081
0,0205;1,852957922
0,021;0,381558457
0,0215;-0,648696774
0,022;-1,204800099
0,0225;-1,227340958
0,023;0,489764396
0,0235;1,859799763
0,024;2,64631301
0,0245;2,123578393
0,025;0,754686682
0,0255;-1,138188485
0,026;-1,320297323
0,0265;-0,759115558
0,027;0,162611735
0,0275;1,533211244
0,028;2,498364052
0,0285;2,373957521
0,029;0,340385727
0,0295;-0,828945811
0,03;-1,776188061
0,0305;-0,662946503
0,031;0,255095115
0,0315;1,920170614
0,032;2,699076723
0,0325;2,305116815
0,033;0,959291425
0,0335;-0,866998032
0,034;-1,861375557
0,0345;-1,264919557
0,035;0,257508254
0,0355;2,254930818
0,036;2,254282179
0,0365;2,228498388
0,037;0,243524969
0,0375;-0,484949939
0,038;-1,650016234
0,0385;-1,217618312
0,039;0,251083858
0,0395;2,030258239
0,04;2,473288849
0,0405;1,765873069
0,041;0,830828628
0,0415;-0,828949471
0,042;-1,450276392
0,0425;-0,497019899
0,043;0,285839019
0,0435;2,171413791
0,044;2,753729094
0,0445;1,794659409
0,045;0,567821641
0,0455;-1,338359273
0,046;-1,946049881
0,0465;-0,883416009
0,047;0,77916723
0,0475;2,348224247
0,048;2,129906208
0,0485;1,983037223
0,049;0,469390641
0,0495;-1,402311493
0,05;-1,662877356
0,0505;-1,252031254
0,051;0,794284541
0,0515;1,725428604
0,052;2,528533136
0,0525;1,579862292
0,053;0,601981941
0,0535;-1,151242278
0,054;-1,345920902
0,0545;-0,724999059
0,055;0,748151593
0,0555;1,864755161
0,056;2,083821378
0,0565;1,643190531
0,057;0,913337362
0,0575;-1,261835543
0,058;-1,174183023
0,0585;-0,875871127
0,059;0,996134717
0,0595;1,492389091
0,06;2,44267827
0,0605;1,520866333
0,061;0,961898081
0,0615;-1,409579338
0,062;-1,225089535
0,0625;-0,596910342
0,063;0,868694705
0,0635;1,498649408
0,064;2,399782649
0,0645;1,674083965
0,065;0,80006848
0,0655;-0,982799735
0,066;-1,089352406
0,0665;-1,232366534
0,067;0,263802917
0,0675;1,559752543
0,068;2,136068559
0,0685;2,28350577
0,069;0,579704587
0,0695;-0,864353361
0,07;-1,855045202
0,0705;-0,561182445
0,071;0,622055131
0,0715;1,765165943
0,072;2,51324954
0,0725;1,816021596
0,073;0,075966692
0,0735;-1,174297409
0,074;-1,876681065
0,0745;-1,230305774
0,075;0,239952526
0,0755;1,831480631
0,076;2,04965443
0,0765;2,316929672
0,077;0,94478719
0,0775;-0,92334947
0,078;-1,510747362
0,0785;-1,076494153
0,079;0,900053846
0,0795;1,783460343
0,08;2,111202755
0,0805;2,194465631
0,081;0,389738837
0,0815;-1,172522276
0,082;-1,596087854
0,0825;-1,317759037
0,083;0,131973293
0,0835;2,356264153
0,084;2,95613454
0,0845;1,989422157
0,085;0,059779543
0,0855;-1,179433649
0,086;-1,646841429
0,0865;-0,593019522
0,087;0,015403438
0,0875;1,457237364
0,088;2,168990029
0,0885;2,063329037
0,089;0,731722386
0,0895;-0,766467599
0,09;-1,549076294
0,0905;-0,86720467
0,091;0,296320806
0,0915;2,158906369
0,092;2,188955015
0,0925;2,100988996
0,093;0,183511156
0,0935;-1,045728966
0,094;-1,374381439
0,0945;-0,633986127
0,095;0,081125769
0,0955;2,343599533
0,096;2,775712679
0,0965;1,901005195
0,097;0,435858589
0,0975;-0,967429813
0,098;-1,693650528
0,0985;-0,905704907
0,099;0,510771564
0,0995;2,231841271
0,1;2,794831417
0,1005;2,058531693
0,101;0,378609383
0,1015;-0,602633104
0,102;-1,467174411
0,1025;-1,063486459
0,103;0,939001562
0,1035;2,290156374
0,104;2,550156343
0,1045;2,036688648
0,105;0,587044705
0,1055;-1,20647127
0,106;-1,69875367
0,1065;-0,943290214
0,107;0,23048816
0,1075;2,258522355
0,108;2,19476429
0,1085;1,640135343
0,109;0,170708047
0,1095;-1,186549265
0,11;-1,564301316
0,1105;-1,103111276
0,111;0,923379642
0,1115;1,844420954
0,112;2,18481632
0,1125;2,319094531
0,113;0,979748378
0,1135;-0,975343589
0,114;-1,888880777
0,1145;-1,156148866
0,115;0,408719846
0,1155;2,009109636
0,116;2,262211748
0,1165;2,017056652
0,117;0,71121578
0,1175;-1,192466828
0,118;-1,882582349
0,1185;-1,117537689
0,119;0,318778302
0,1195;1,838380322
0,12;2,507858285
0,1205;1,499729359
0,121;0,262482235
0,1215;-0,61319894
0,122;-1,970779722
0,1225;-0,485359423
0,123;0,730330863
0,1235;1,902822536
0,124;2,578525061
0,1245;1,651497142
0,125;0,458848828
0,1255;-0,451125023
0,126;-1,453194281
0,1265;-0,893077732
0,127;0,231594387
0,1275;1,903111306
0,128;2,624060088
0,1285;2,093349103
0,129;0,395515216
0,1295;-1,046776914
0,13;-1,012017997
0,1305;-1,376474696
0,131;0,885168008
0,1315;2,32750039
0,132;2,796183874
0,1325;1,512925841
0,133;0,261871184
0,1335;-1,078856722
0,134;-1,320272049
0,1345;-1,277660425
0,135;0,721227499
0,1355;1,520975424
0,136;2,653757349
0,1365;1,908387499
0,137;0,779051723
0,1375;-0,699176484
0,138;-1,096279439
0,1385;-0,523291058
0,139;0,334163053
0,1395;2,112959395
0,14;2,197809827
0,1405;1,444754509
0,141;0,74407426
0,1415;-0,914191127
0,142;-1,520077859
0,1425;-0,509491324
0,143;0,609866648
0,1435;2,031879952
0,144;2,859442306
0,1445;2,219702987
0,145;0,576721516
0,1455;-1,231291093
0,146;-1,760067989
0,1465;-0,527701629
0,147;0,028674152
0,1475;1,904114951
0,148;2,167927146
0,1485;2,392894212
0,149;0,712694472
0,1495;-0,913741938
0,15;-1,528911625
0,1505;-1,354594695
0,151;0,681971904
0,1515;1,4566447
0,152;2,071445465
0,1525;1,935863405
0,153;0,096730026
0,1535;-0,596065009
0,154;-1,182452908
0,1545;-0,69177397
0,155;0,149865442
0,1555;2,073818815
0,156;2,518594943
0,1565;2,387188117
0,157;0,648991493
0,1575;-0,613882987
0,158;-1,546202291
0,1585;-0,981822059
0,159;0,825313795
0,1595;1,497683377
